D123RTS;Honda Beat;Motor;Merah;Mahasiswa
D1231GUY;Agya;Mobil;Hitam;Mahasiswa
D8712ITC;Xenia;Mobil;Silver;Mahasiswa
D123AFR;March;Mobil;Putih;Mahasiswa
D755OIP;Brio;Mobil;Putih;Mahasiswa
D904PRF;Datsu Go+ ;Mobil;Hitam;Mahasiswa
D1234ART;Daihatsu Ayla;Mobil;Biru;Mahasiswa
D678YUT;Karimun Wagon;Mobil;Hitam;Mahasiswa
D9876UYT;Honda Vario;Motor;Merah;Mahasiswa
D156ITZ;Honda Revo;Motor;Biru;Mahasiswa
D986QRS;Mobilio;Mobil;Hitam;Mahasiswa
B1998ABC;Honda Jazz;Mobil;Hitam;Mahasiswa
B1997HUT;Mio;Motor;Hitam;Mahasiswa
D123ABC;Avanza;Mobil;Hitam;Staff Dosen
D123ABD;Agya;Mobil;Putih;Staff Dosen
D123ABF;Toyota Camry;Mobil;Silver;Staff Dosen
D123ABG;March;Mobil;Putih;Staff Dosen
D435ABC;Brio;Mobil;Putih;Staff Dosen
D987ABC;Datsu Go+ ;Mobil;Silver;Staff Dosen
D876ABD;Daihatsu Ayla;Mobil;Putih;Staff Dosen
F6781BG;Karimun Wagon;Mobil;Putih;Staff Dosen
B7864GT;Avanza;Mobil;Silver;Staff Dosen
B6547TRF;Daihatsu Xenia;Mobil;Putih;Staff Dosen
D7658RFD;Mobilio;Mobil;Putih;Staff Dosen
D2341RFS;Honda Jazz;Mobil;Silver;Staff Dosen
D123RFS;Toyota Yaris;Mobil;Putih;Staff Dosen
D9012RFS;Honda CR-V;Mobil;Putih;Staff Dosen
D1230RFS;Mitsubishi Outlander;Mobil;Silver;Staff Dosen
D7096RFS;Mazda CX-3;Mobil;Putih;Tamu
D769RFT;Toyota Rush;Mobil;Hitam;Tamu
D4597ABH;Nissan Juke;Mobil;Silver;Tamu
D7209DBJ;Daihatsu Xenia;Mobil;Silver;Tamu
D2769QUV;Nissan Grand Livina;Mobil;Silver;Tamu
B8709QTX;Toyota Fortuner;Mobil;Silver;Tamu
B2409RFS;Toyota Etios;Mobil;Silver;Tamu
B0972THY;March;Mobil;Silver;Tamu
B8210YRS;Yamaha Mio;Mobil;Silver;Tamu
D9214RTF;Datsu Go+ ;Mobil;Silver;Tamu
D1897ABU;Daihatsu Ayla;Mobil;Silver;Umum
D1956TYU;Yamaha Mio;Motor;Biru;Umum
D1289JES;Avanza;Mobil;Silver;Umum
D1189FLO;Daihatsu Xenia;Mobil;Silver;Umum
F8926UTR;Mobilio;Mobil;Silver;Umum
BG1230ITR;Honda Jazz;Mobil;Silver;Umum
Z7892YT;Honda Supra GTR ;Motor;Biru;Umum
B9876RTF;Honda Beat;Motor;Merah;Umum
B2679RFS;Honda Beat;Motor;Hijau;Umum
B7891RFS;Daihatsu Xenia;Motor;Biru;Umum
